id,exitStep,exitStepLastChangedAt,participantID,participantIDLastChangedAt,treatmentName,treatmentNameLastChangedAt,ended,endedLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,gameID,gameIDLastChangedAt,intro,introLastChangedAt,treatment,treatmentLastChangedAt,emojiArray,emojiArrayLastChangedAt,introDone,introDoneLastChangedAt,exitSurvey,exitSurveyLastChangedAt,urlParams,urlParamsLastChangedAt,name,nameLastChangedAt,recipient,recipientLastChangedAt
01HNDC2ANR1XXE71NH09663030,1,2024-01-30T14:29:34.669604281Z,01HNDC2A8MEJSXN1VZ12DY2Y26,2024-01-30T14:23:45.336943503Z,experiment2-slider,2024-01-30T14:23:45.345803914Z,game ended,2024-01-30T14:27:24.967727527Z,608c21dcfbaea78d4285c25a,2024-01-30T14:23:45.336943503Z,01HNDC2A4W0MVF0WFWE3QRW4PK,2024-01-30T14:24:32.537420235Z,3,2024-01-30T14:24:28.08691596Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:23:45.345803914Z,"[""                     "",""🐿️"",""🐿️"",""🐿️"","""",""🐿️"","""",""🐇"",""🐇""]",2024-01-30T14:24:54.332098564Z,true,2024-01-30T14:24:50.064626628Z,"{""age"":""55"",""gender"":""Female"",""strength"":""My strength is seeing a pattern and not making assumptions with limited information."",""fair"":""Yes"",""feedback"":""no"",""education"":""master"",""teammates"":""Yes, the results seemed to indicate they were truthful "",""notes"":""Yes"",""politics"":""Libreral"",""geo"":""Canadian"",""ethnicity"":""Caucasian""}",2024-01-30T14:29:34.657216778Z,{},2024-01-30T14:23:45.657011899Z,player 1,2024-01-30T14:24:54.332098564Z,01HNDC2BWH5SYS98M56DZ07EEP,2024-01-30T14:27:17.877283825Z
01HNDC2BWH5SYS98M56DZ07EEP,1,2024-01-30T14:28:12.243347281Z,01HNDC2B2VNPQRP08C8M34HQK7,2024-01-30T14:23:46.57780548Z,experiment2-slider,2024-01-30T14:23:46.585839786Z,game ended,2024-01-30T14:27:24.967727527Z,594f5f0b6208900001db0b8f,2024-01-30T14:23:46.57780548Z,01HNDC2A4W0MVF0WFWE3QRW4PK,2024-01-30T14:24:32.537420235Z,3,2024-01-30T14:24:50.722669779Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:23:46.585839786Z,"[""🐇"",""🐿️"",""                            "",""🐇"",""🐿️"",""🐇"",""🐿️"",""🐿️"",""🐿️"","""",""""]",2024-01-30T14:24:54.332098564Z,true,2024-01-30T14:24:54.123063814Z,"{""age"":""41"",""gender"":""Female"",""strength"":""Average"",""fair"":""Very"",""feedback"":""Took a while to load "",""education"":""high-school"",""teammates"":""Not sure"",""notes"":""No"",""politics"":""Centre"",""geo"":""UK"",""ethnicity"":""White""}",2024-01-30T14:28:12.233939408Z,{},2024-01-30T14:23:46.875519004Z,player 2,2024-01-30T14:24:54.332098564Z,01HNDC31WYP14N9WEZ0NCMDYTR,2024-01-30T14:27:17.877283825Z
01HNDC2CMY4H5YNEDFHMGHPWK6,,,01HNDC2BVA5Z8RZ4P9VYGRAV15,2024-01-30T14:23:47.359040997Z,experiment2-interactive,2024-01-30T14:23:47.368372849Z,,,5a7c684217ef350001703d05,2024-01-30T14:23:47.359040997Z,01HNDCKXY53YSESHWD1285TDKK,2024-01-30T14:36:12.02862826Z,2,2024-01-30T14:23:51.295689146Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:23:47.368372849Z,,,,,,,{},2024-01-30T14:23:47.77178514Z,,,,
01HNDC2D2TFSMXE4B7XCE0TZ55,1,2024-01-30T14:29:22.391159326Z,01HNDC2CEE6WGYRT52QA0KKA4Y,2024-01-30T14:23:47.802698731Z,experiment2-slider,2024-01-30T14:23:47.808441862Z,game ended,2024-01-30T14:27:36.478306097Z,65577ba78cf726c39b1a277d,2024-01-30T14:23:47.802698731Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:23:47.808441862Z,3,2024-01-30T14:24:13.574677339Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:23:47.808441862Z,"["""","""",""""]",2024-01-30T14:24:32.648829257Z,true,2024-01-30T14:24:32.395380194Z,"{""age"":""59"",""gender"":""FEMALE"",""strength"":""Strong"",""fair"":""There may have been a little guessing and bluffing going on "",""feedback"":""No problems "",""education"":""bachelor"",""teammates"":""Cannot tell if they are telling the truth but I think most were based on the image"",""notes"":""Yes I did notice"",""politics"":""Centre"",""geo"":""Indian"",""ethnicity"":""Asian""}",2024-01-30T14:29:22.401847643Z,{},2024-01-30T14:23:48.122695904Z,player 1,2024-01-30T14:24:32.648829257Z,01HNDC2FA3VYEHGW3KZ6J12D0S,2024-01-30T14:27:28.403782092Z
01HNDC2D8WY368FQYJB3AYA6PD,1,2024-01-30T14:33:48.633331959Z,01HNDC2CHA9KJKC420A5KAAS8K,2024-01-30T14:23:47.996619923Z,experiment2-interactive,2024-01-30T14:23:48.003762141Z,game ended,2024-01-30T14:33:13.942971495Z,60fdab59bc8e1fc13e90084b,2024-01-30T14:23:47.996619923Z,01HNDC2AJXWT76YQQ38QCXAH1Z,2024-01-30T14:25:59.900749468Z,4,2024-01-30T14:25:57.256479441Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:23:48.003762141Z,"[""🐿️"",""🐿️"","""",""                            "",""🐿️"",""🐇"",""🐿️"",""🐇"",""🐿️"","""",""🐿️""]",2024-01-30T14:26:10.867682293Z,true,2024-01-30T14:26:00.327100056Z,"{""age"":""26"",""gender"":""Female"",""strength"":""10/10"",""fair"":""10/10"",""feedback"":""None"",""education"":""bachelor"",""teammates"":""Yes I think so"",""notes"":""No just remembered "",""politics"":""Left"",""geo"":""British"",""ethnicity"":""White""}",2024-01-30T14:33:48.607636335Z,{},2024-01-30T14:23:48.316579398Z,player 1,2024-01-30T14:26:10.867682293Z,01HNDC2E1WE7V12AQSA0G9QV1A,2024-01-30T14:32:32.678202779Z
01HNDC2DC49BP2TY4MPWFH1ZFY,1,2024-01-30T14:34:38.971715748Z,01HNDC2D2690RC7VDP1TWN5624,2024-01-30T14:23:48.10072079Z,experiment2-interactive,2024-01-30T14:23:48.106793399Z,game ended,2024-01-30T14:33:36.069663126Z,5ec87daedce2260008f5c0d3,2024-01-30T14:23:48.10072079Z,01HNDC2A4VNJPH4WH9V4PA3H0M,2024-01-30T14:25:27.130582715Z,4,2024-01-30T14:25:24.228452545Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:23:48.106793399Z,"[""       "",""🐿️"","""",""🐿️"",""""]",2024-01-30T14:26:00.087653847Z,true,2024-01-30T14:25:27.562836354Z,"{""age"":""23"",""gender"":""Female"",""strength"":""Communicating clearly how many of each type of animal I had."",""fair"":""Yes"",""feedback"":""N/A"",""education"":""bachelor"",""teammates"":""I think they were okay. I assumed they were telling the truth, I have no way of knowing if they were honest. "",""notes"":""Not really"",""politics"":""Left"",""geo"":""Canada"",""ethnicity"":""Asian""}",2024-01-30T14:34:39.005871569Z,{},2024-01-30T14:23:48.262592114Z,player 1,2024-01-30T14:26:00.087653847Z,01HNDC40RWJFYYMT8CYTH6KGQS,2024-01-30T14:32:48.544014641Z
01HNDC2E1WE7V12AQSA0G9QV1A,1,2024-01-30T14:33:58.608017662Z,01HNDC2D9EZYF75R7F8TS65B78,2024-01-30T14:23:48.796940242Z,experiment2-interactive,2024-01-30T14:23:48.804034846Z,game ended,2024-01-30T14:33:13.942971495Z,6001bd2d282af20ea6ccedc1,2024-01-30T14:23:48.796940242Z,01HNDC2AJXWT76YQQ38QCXAH1Z,2024-01-30T14:25:59.907721377Z,4,2024-01-30T14:25:57.718506733Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:23:48.804034846Z,"[""🐇"",""🐿️"",""🐇"",""🐿️"",""🐇"",""                     "","""","""",""🐇"",""🐿️""]",2024-01-30T14:26:10.867682293Z,true,2024-01-30T14:26:01.908545856Z,"{""age"":""27"",""gender"":""Nale"",""strength"":""Mid"",""fair"":""No"",""feedback"":"""",""education"":""master"",""teammates"":""No not truthful"",""notes"":""Yes"",""politics"":""Left"",""geo"":""Scottish"",""ethnicity"":""White scottish""}",2024-01-30T14:33:58.583209573Z,{},2024-01-30T14:23:49.215197839Z,player 2,2024-01-30T14:26:10.867682293Z,01HNDC32056SVS22YHNWC846HE,2024-01-30T14:32:32.678202779Z
01HNDC2EA51NV23G21XTGEAGK8,1,2024-01-30T14:34:47.227868779Z,01HNDC2DRJGV8832MXSE7QYZHH,2024-01-30T14:23:49.061427401Z,experiment2-slider,2024-01-30T14:23:49.067925489Z,game ended,2024-01-30T14:30:26.692718691Z,62824c37f4cc437ab86e0ae6,2024-01-30T14:23:49.061427401Z,01HNDC2B35KCNCB7DCMR0PRVFE,2024-01-30T14:26:38.149292462Z,3,2024-01-30T14:26:35.58658986Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:23:49.067925489Z,"["""","""",""       "",""🐿️"",""🐇""]",2024-01-30T14:27:01.792307379Z,true,2024-01-30T14:27:01.584983653Z,"{""age"":""35"",""gender"":""female"",""strength"":""I told the truth and then adjusted the ratio percentage based on others' answers."",""fair"":""yes"",""feedback"":""no problems"",""education"":""high-school"",""teammates"":""Based on such a short interaction (if we can call it that), it is hard to say, whether they were good co-players. I can only hope they did tell the truth, but why wouldn't they?"",""notes"":""I tried to follow what each player said and make out the ratio of the two species."",""politics"":"""",""geo"":""British and Hungarian"",""ethnicity"":""white Caucasian""}",2024-01-30T14:34:47.142297452Z,{},2024-01-30T14:23:49.348284618Z,player 1,2024-01-30T14:27:01.792307379Z,01HNDC316ECWM5ZVFX5VYXG1N4,2024-01-30T14:30:12.373178798Z
01HNDC2EZ7BJQK05YQG6M48YGR,1,2024-01-30T14:30:22.352852988Z,01HNDC2ECDGQKXHPA2RH9FXR7P,2024-01-30T14:23:49.735662252Z,experiment2-slider,2024-01-30T14:23:49.743926061Z,game ended,2024-01-30T14:29:08.616838866Z,606f2543efdc539bcfe212e2,2024-01-30T14:23:49.735662252Z,01HNDC2ARHW1Y947E290943YY2,2024-01-30T14:25:39.75503567Z,3,2024-01-30T14:25:35.851206517Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:23:49.743926061Z,"["""","""",""""]",2024-01-30T14:25:56.190882267Z,true,2024-01-30T14:25:56.031964269Z,"{""age"":""60"",""gender"":""F"",""strength"":""Poor!"",""fair"":""Don't know yet"",""feedback"":""I was very reliant on what others said, so felt very powerless"",""education"":""bachelor"",""teammates"":""Probably"",""notes"":""Yes"",""politics"":""Centre"",""geo"":""UK"",""ethnicity"":""White""}",2024-01-30T14:30:22.325337632Z,{},2024-01-30T14:23:50.044632965Z,player 1,2024-01-30T14:25:56.190882267Z,01HNDC2T1DW3BSHDKF0KNXWSPK,2024-01-30T14:28:57.272458616Z
01HNDC2FA3VYEHGW3KZ6J12D0S,1,2024-01-30T14:28:54.465213306Z,01HNDC2EFDNF657P0WQ1MZ104B,2024-01-30T14:23:50.083150819Z,experiment2-slider,2024-01-30T14:23:50.093773957Z,game ended,2024-01-30T14:27:36.478306097Z,65980e146d26d700d4b970ef,2024-01-30T14:23:50.083150819Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:23:50.093773957Z,3,2024-01-30T14:24:08.839170395Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:23:50.093773957Z,"["""",""🐿️"","""",""""]",2024-01-30T14:24:32.648829257Z,true,2024-01-30T14:24:17.72156297Z,"{""age"":""18"",""gender"":""male"",""strength"":""I was a bit confused because my teammates kept saying different things."",""fair"":""Yes."",""feedback"":""n/a"",""education"":""high-school"",""teammates"":""I think so, I'm not too sure."",""notes"":""yes, though not carefully."",""politics"":""left"",""geo"":""hong kong/uk"",""ethnicity"":""chinese""}",2024-01-30T14:28:54.454009596Z,{},2024-01-30T14:23:50.423882823Z,player 2,2024-01-30T14:24:32.648829257Z,01HNDC2H97MM64929JJZXZ4620,2024-01-30T14:27:28.403782092Z
01HNDC2FPZZGQYK3W33VGS3NHC,1,2024-01-30T14:36:57.7611907Z,01HNDC2F290DJEA87P8NS9TK7H,2024-01-30T14:23:50.495401704Z,experiment2-interactive,2024-01-30T14:23:50.503947681Z,game ended,2024-01-30T14:34:53.932964312Z,62e155af06ef3f987f4925f3,2024-01-30T14:23:50.495401704Z,01HNDC2SJR3K7AYMSQGCJTX52W,2024-01-30T14:28:13.788963903Z,4,2024-01-30T14:28:11.860692431Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:23:50.503947681Z,"["""","""",""""]",2024-01-30T14:28:42.774207931Z,true,2024-01-30T14:28:13.993291611Z,"{""age"":""24"",""gender"":""Male"",""strength"":""Unsure what that means"",""fair"":""Yes the pay is fair"",""feedback"":""First attempt crashed towards the end and had to restart"",""education"":""high-school"",""teammates"":""The last one said there was a rabbit, but I didn't see any from the other rounds so must be a lie."",""notes"":""i had a running tally"",""politics"":""Middle"",""geo"":""United Kingdom"",""ethnicity"":""White British""}",2024-01-30T14:36:57.728425114Z,{},2024-01-30T14:23:50.809587741Z,player 1,2024-01-30T14:28:42.774207931Z,01HNDC4ECJZ3TXV68P7GJ4JKVX,2024-01-30T14:34:07.000724918Z
01HNDC2GMYDJ85AZ6HCTM0KCE7,1,2024-01-30T14:30:30.014456683Z,01HNDC2G1Y7PHPXRFHGN9584F9,2024-01-30T14:23:51.454466161Z,experiment2-slider,2024-01-30T14:23:51.463392616Z,game ended,2024-01-30T14:29:33.270758722Z,5e37453bf269746d9e616f34,2024-01-30T14:23:51.454466161Z,01HNDC2AJZ3MCJA1MPDB6Y1F62,2024-01-30T14:24:54.251348896Z,3,2024-01-30T14:25:28.344667711Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:23:51.463392616Z,"["""","""",""""]",2024-01-30T14:25:39.866012616Z,true,2024-01-30T14:25:33.208571362Z,"{""age"":""48"",""gender"":""f"",""strength"":""not sure"",""fair"":""yes"",""feedback"":"""",""education"":""master"",""teammates"":""don't know"",""notes"":""no"",""politics"":""central"",""geo"":""United Kingdom"",""ethnicity"":""asian""}",2024-01-30T14:30:30.044859595Z,{},2024-01-30T14:23:51.765632126Z,player 1,2024-01-30T14:25:39.866012616Z,01HNDC2JEQ45P4PS1GNYHNMQDC,2024-01-30T14:29:02.852046832Z
01HNDC2H97MM64929JJZXZ4620,1,2024-01-30T14:28:45.790218471Z,01HNDC2GNHGHXXW7M2T75WCFFT,2024-01-30T14:23:52.103620852Z,experiment2-slider,2024-01-30T14:23:52.109595374Z,game ended,2024-01-30T14:27:36.478306097Z,60941b098b68afe9c6e96e94,2024-01-30T14:23:52.103620852Z,01HNDC24YW8330C3H47G3JKDYP,2024-01-30T14:23:52.109595374Z,3,2024-01-30T14:24:16.891675834Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:23:52.109595374Z,"[""🐿️"","""","""",""""]",2024-01-30T14:24:32.648829257Z,true,2024-01-30T14:24:19.067042006Z,"{""age"":""32"",""gender"":""female"",""strength"":""not very good"",""fair"":""kind of"",""feedback"":"""",""education"":""bachelor"",""teammates"":""I assume so"",""notes"":""yes"",""politics"":""left"",""geo"":""Swiss"",""ethnicity"":""white""}",2024-01-30T14:28:45.780405348Z,{},2024-01-30T14:23:52.41837168Z,player 3,2024-01-30T14:24:32.648829257Z,01HNDC30EDNEK5D4SPK46XX8X8,2024-01-30T14:27:28.403782092Z
01HNDC2JB5T7TN3W3WQTTTSJXM,,,01HNDC2HR1E94HFPE7P8ZF8BHQ,2024-01-30T14:23:53.189311297Z,experiment2-slider,2024-01-30T14:23:53.196749377Z,,,5eafe6dbe612c102dd01c038,2024-01-30T14:23:53.189311297Z,01HNDCKXWSG6JPC51MDWTAD0BN,2024-01-30T14:41:26.573522722Z,2,2024-01-30T14:24:20.767356305Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-01-30T14:23:53.196749377Z,,,,,,,{},2024-01-30T14:23:53.496158225Z,,,,
